ch1,ch2,ch3,ch4,ch5,ch6
589,595,590,588,599,575
587,574,589,583,595,595
587,574,589,583,595,595
587,574,589,583,595,595
581,582,595,595,593,582
581,582,595,595,593,582
581,582,595,595,593,582
582,579,582,585,598,579
582,579,582,585,598,579
585,596,591,590,598,587
585,596,591,590,598,587
585,596,591,590,598,587
588,582,591,583,589,581
588,582,591,583,589,581
588,582,591,583,589,581
582,588,579,585,595,587
582,588,579,585,595,587
582,588,579,585,595,587
579,575,579,579,593,596
579,575,579,579,593,596
585,583,598,591,585,582
585,583,598,591,585,582
585,583,598,591,585,582
587,587,585,596,593,590
587,587,585,596,593,590
587,587,585,596,593,590
594,583,590,582,589,588
594,583,590,582,589,588
594,583,590,582,589,588
592,591,589,587,599,595
592,591,589,587,599,595
585,587,595,585,598,585
585,587,595,585,598,585
585,587,595,585,598,585
582,599,595,591,589,582
582,599,595,591,589,582
582,599,595,591,589,582
585,583,589,591,590,585
585,583,589,591,590,585
583,577,580,586,594,595
583,577,580,586,594,595
583,577,580,586,594,595
587,584,575,587,605,599
587,584,575,587,605,599
587,584,575,587,605,599
585,583,588,575,591,580
585,583,588,575,591,580
585,583,588,575,591,580
582,596,585,600,595,598
582,596,585,600,595,598
585,587,595,591,593,585
585,587,595,591,593,585
585,587,595,591,593,585
587,589,595,577,586,588
587,589,595,577,586,588
587,589,595,577,586,588
585,591,577,588,593,583
585,591,577,588,593,583
585,591,577,588,593,583
583,591,581,581,595,595
583,591,581,581,595,595
583,597,595,590,588,591
583,597,595,590,588,591
583,597,595,590,588,591
585,589,585,588,590,594
585,589,585,588,590,594
585,589,585,588,590,594
585,591,596,589,595,583
585,591,596,589,595,583
585,591,596,589,595,583
582,596,588,590,598,580
582,596,588,590,598,580
582,596,588,590,598,580
588,583,582,590,590,587
588,583,582,590,590,587
586,588,595,594,604,583
586,588,595,594,604,583
586,588,595,594,604,583
579,574,595,591,583,579
579,574,595,591,583,579
579,574,595,591,583,579
577,582,583,585,599,595
577,582,583,585,599,595
583,591,590,589,593,588
591,584,591,585,593,591
591,584,591,585,593,591
593,599,588,591,591,593
593,599,588,591,591,593
593,599,588,591,591,593
588,588,591,593,604,575
588,588,591,593,604,575
588,588,591,593,604,575
581,583,596,585,587,583
581,583,596,585,587,583
587,579,591,579,583,577
587,579,591,579,583,577
587,579,591,579,583,577
583,575,583,585,587,590
583,575,583,585,587,590
583,575,583,585,587,590
585,583,582,580,600,589
585,583,582,580,600,589
591,583,585,583,579,595
591,593,588,591,590,591
591,593,588,591,590,591
590,577,593,598,589,591
590,577,593,598,589,591
590,577,593,598,589,591
590,596,594,591,601,574
590,596,594,591,601,574
590,596,594,591,601,574
583,590,586,580,598,591
583,590,586,580,598,591
581,587,590,596,604,585
583,598,575,583,591,585
583,598,575,583,591,585
587,581,590,585,594,583
587,581,590,585,594,583
588,591,598,583,582,593
588,591,598,583,582,593
588,591,598,583,582,593
588,587,588,591,585,585
588,587,588,591,585,585
585,595,588,583,585,586
585,595,588,583,585,586
585,595,588,583,585,586
583,589,591,582,591,587
583,589,591,582,591,587
583,589,591,582,591,587
587,588,583,593,595,582
587,588,583,593,595,582
587,588,583,593,595,582
585,591,581,589,607,594
585,591,581,589,607,594
587,589,601,587,595,591
587,589,601,587,595,591
587,589,601,587,595,591
583,583,590,587,589,590
583,583,590,587,589,590
583,583,590,587,589,590
587,599,593,589,594,591
587,599,593,589,594,591
587,599,593,589,594,591
584,589,593,585,594,582
584,589,593,585,594,582
585,586,596,593,598,583
585,586,596,593,598,583
585,586,596,593,598,583
585,593,585,591,597,583
585,593,585,591,597,583
585,593,585,591,597,583
585,582,587,583,585,582
585,582,587,583,585,582
583,582,591,588,591,582
583,582,591,588,591,582
583,582,591,588,591,582
587,592,591,584,596,585
587,592,591,584,596,585
587,592,591,584,596,585
586,590,592,585,593,589
586,590,592,585,593,589
586,590,592,585,593,589
582,583,595,591,597,590
582,583,595,591,597,590
580,597,585,591,590,591
580,597,585,591,590,591
580,597,585,591,590,591
579,581,591,587,585,590
579,581,591,587,585,590
579,581,591,587,585,590
591,575,589,587,589,592
591,575,589,587,589,592
590,575,600,594,595,596
590,575,600,594,595,596
590,575,600,594,595,596
591,596,598,582,590,581
591,596,598,582,590,581
591,596,598,582,590,581
586,577,591,588,591,593
586,577,591,588,591,593
586,577,591,588,591,593
585,593,582,583,603,579
585,593,582,583,603,579
585,593,582,583,603,579
585,580,583,577,597,588
585,580,583,577,597,588
584,581,590,595,592,589
584,581,590,595,592,589
584,581,590,595,592,589
583,583,593,589,603,594
583,583,593,589,603,594
583,583,593,589,603,594
584,599,590,579,582,588
584,599,590,579,582,588
584,599,590,579,582,588
583,595,597,574,597,585
583,595,597,574,597,585
587,588,589,591,599,591
587,588,589,591,599,591
587,588,589,591,599,591
590,588,586,586,595,591
590,588,586,586,595,591
590,588,586,586,595,591
583,594,598,585,588,585
583,594,598,585,588,585
583,594,598,585,588,585
585,590,583,582,601,583
585,590,583,582,601,583
585,591,595,588,582,586
585,591,595,588,582,586
585,591,595,588,582,586
585,583,587,580,583,580
585,583,587,580,583,580
585,583,587,580,583,580
590,589,589,583,598,590
590,589,589,583,598,590
586,579,597,583,590,586
586,579,597,583,590,586
586,579,597,583,590,586
583,597,600,588,596,587
583,597,600,588,596,587
583,597,600,588,596,587
585,579,585,588,585,591
585,579,585,588,585,591
585,579,585,588,585,591
585,598,591,588,594,593
585,598,591,588,594,593
585,583,595,589,579,588
585,581,604,583,583,591
585,581,604,583,583,591
586,582,598,595,595,591
586,582,598,595,595,591
586,582,598,595,595,591
583,588,591,583,593,591
583,588,591,583,593,591
583,588,591,583,593,591
583,588,596,590,582,589
583,588,596,590,582,589
589,586,579,580,601,582
